Date, Num Users
2019-09-15,44076392
2019-09-16,44436470
2019-09-17,44757284
2019-09-18,44081023
2019-09-19,44451056
2019-09-20,43117914
2019-09-21,44158889
2019-09-22,43795755
2019-09-23,38496730
2019-09-24,42561102
2019-09-25,38557427
2019-09-26,43815468
2019-09-27,43443701
2019-09-28,41728618
2019-09-29,45238024
2019-09-30,44962648
2019-10-01,44832005
2019-10-02,45357225
2019-10-03,44231257
2019-10-04,45140435
2019-10-05,44711641
2019-10-06,44577265
2019-10-07,45371312
2019-10-08,44767198
2019-10-09,45615528
2019-10-10,45547895
2019-10-11,44226619
2019-10-12,45737311
2019-10-13,42824973
2019-10-14,44806537
2019-10-15,43357859
2019-10-16,45886888
2019-10-17,42398544
2019-10-18,43475922
2019-10-19,45966777
2019-10-20,45967481
2019-10-21,46068176
2019-10-22,46111400
2019-10-23,39886446
2019-10-24,45534868
2019-10-25,45820582
2019-10-26,45563852
2019-10-27,43309792
2019-10-28,46320252
2019-10-29,46359679
2019-10-30,45208115
2019-10-31,46437983
2019-11-01,46146871
2019-11-02,45094227
2019-11-03,46531246
2019-11-04,46209249
2019-11-05,45555361
2019-11-06,45578649
2019-11-07,46203099
2019-11-08,45661008
2019-11-09,46330250
2019-11-10,46786854
2019-11-11,45059165
2019-11-12,45098252
2019-11-13,43549984
2019-11-14,44227746
2019-11-15,46693211
2019-11-16,42937316
2019-11-17,45578564
2019-11-18,41724473
2019-11-19,45073758
2019-11-20,43199592
2019-11-21,44686771
2019-11-22,41679441
2019-11-23,46857441
2019-11-24,45910689
2019-11-25,46659302
2019-11-26,36807936
2019-11-27,37843043
2019-11-28,45485827
2019-11-29,41559560
2019-11-30,47367817
2019-12-01,46547400
2019-12-02,47578412
2019-12-03,46108277
2019-12-04,47094151
2019-12-05,41916948
2019-12-06,39433013
2019-12-07,44738563
2019-12-08,44554582
2019-12-09,46943735
2019-12-10,45993654
2019-12-11,47541312
2019-12-12,45789468
2019-12-13,45885552
